npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/31/2026 8:42:39 AM ::1 GET /index.html
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 301 in 259 ms
 HTTP  5/31/2026 8:42:39 AM ::1 GET /index
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 301 in 1 ms
 HTTP  5/31/2026 8:42:39 AM ::1 GET /
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 13 ms
 HTTP  5/31/2026 8:42:39 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:39 AM ::1 GET /images/icon-192.png
 HTTP  5/31/2026 8:42:39 AM ::1 GET /images/bike-commute.jpg
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 6 ms
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 9 ms
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 16 ms
 HTTP  5/31/2026 8:42:39 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 5 ms
 HTTP  5/31/2026 8:42:39 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:39 AM ::1 Returned 200 in 22 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /header.html
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 301 in 2 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /routes.json
 HTTP  5/31/2026 8:42:40 AM ::1 GET /images/900.jpg
 HTTP  5/31/2026 8:42:40 AM ::1 GET /images/960.jpg
 HTTP  5/31/2026 8:42:40 AM ::1 GET /images/966T.jpg
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 9 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /api/user?user_id=1
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 12 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 404 in 5 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 35 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 60 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /api/getHistory
 HTTP  5/31/2026 8:42:40 AM ::1 GET /header
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 404 in 8 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 8 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 404 in 2 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /sw.js
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 2 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /routes
 HTTP  5/31/2026 8:42:40 AM ::1 GET /dashboard
 HTTP  5/31/2026 8:42:40 AM ::1 GET /
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 304 in 0 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 4 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 5 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /login
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 1 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /ride
 HTTP  5/31/2026 8:42:40 AM ::1 GET /nav
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 6 ms
 HTTP  5/31/2026 8:42:40 AM ::1 GET /chat
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 24 ms
 HTTP  5/31/2026 8:42:40 AM ::1 Returned 200 in 23 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /tasks
 HTTP  5/31/2026 8:42:41 AM ::1 GET /forum
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 3 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 4 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /leaderboard
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 4 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:41 AM ::1 GET /js/login.js
 HTTP  5/31/2026 8:42:41 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 3 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /manifest.json
 HTTP  5/31/2026 8:42:41 AM ::1 GET /routes.json
 HTTP  5/31/2026 8:42:41 AM ::1 GET /header
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /images/icon-192.png
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 5 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /images/icon-512.png
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 200 in 3 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:41 AM ::1 GET /images/bike-commute.jpg
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 2 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:41 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 2 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 404 in 2 ms
 HTTP  5/31/2026 8:42:41 AM ::1 GET /images/900.jpg
 HTTP  5/31/2026 8:42:41 AM ::1 GET /header
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:41 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:42 AM ::1 GET /api/user?user_id=1
 HTTP  5/31/2026 8:42:42 AM ::1 GET /images/960.jpg
 HTTP  5/31/2026 8:42:42 AM ::1 GET /images/966T.jpg
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 404 in 4 ms
 HTTP  5/31/2026 8:42:42 AM ::1 GET /api/getHistory
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 404 in 1 ms
